date,symbol,ib_close,refinitiv_close
2025-06-06,SOR,42.6,42.6
2025-06-06,SPBC,40.0,40.0
2025-06-06,SPDV,31.82,31.82
2025-06-06,SPDW,40.34,40.34
2025-06-06,SPE,15.19,15.19
2025-06-06,SPEM,41.97,41.97
2025-06-06,SPEU,48.64,48.64
2025-06-06,SPGM,67.0,67.0
2025-06-06,SPGP,103.92,103.92
2025-06-06,SPHB,91.49,91.49
2025-06-06,SPHD,47.38,47.38
2025-06-06,SPHQ,71.39,71.39
2025-06-06,SPLG,70.47,70.47
2025-06-06,SPLV,72.95,72.95
2025-06-06,SPMO,106.92,106.92
2025-06-06,MTUM,232.74,232.74
2025-06-06,MVPA,33.58,33.5764
2025-06-06,NACP,42.23,42.23
2025-06-06,NANC,40.14,40.14
2025-06-06,NFRA,61.38,61.375
2025-06-06,NOBL,100.65,100.65
2025-06-06,NSCR,27.93,27.9361
2025-06-06,NUDM,34.91,34.91
2025-06-06,NUEM,31.53,31.53
2025-06-06,NUGO,34.63,34.6249
2025-06-06,NULC,47.83,47.8264
2025-06-06,NULG,90.7,90.7068
2025-06-06,NULV,41.01,41.01
2025-06-06,NUMV,35.37,35.37
2025-06-06,NUSC,40.32,40.32
2025-06-06,NWLG,34.63,34.6307
2025-06-06,NXTG,93.32,93.32
2025-06-06,NZUS,31.91,31.9161
2025-06-06,OALC,31.16,31.16
2025-06-06,OEF,293.35,293.35
2025-06-06,OMFL,57.01,57.01
2025-06-06,OMFS,40.09,40.09
2025-06-06,ONEO,121.38,121.379
2025-06-06,ONEQ,76.92,76.92
2025-06-06,ONEV,128.44,128.4372
2025-06-06,ONEY,107.98,107.9834
2025-06-06,OSCV,35.81,35.81
2025-06-06,OUSA,53.9,53.9
2025-06-06,OVL,46.58,46.5816
2025-06-06,OVLH,35.9,35.8984
2025-06-06,SPMV,47.99,47.9932
2025-06-06,SPSM,41.97,41.97
2025-06-06,SPTL,25.73,25.73
2025-06-06,SPTM,72.67,72.67
2025-06-06,SPUS,42.62,42.62
2025-06-06,SPVM,58.3,58.3
2025-06-06,SPVU,50.88,50.8761
2025-06-06,SPXE,64.77,64.7642
2025-06-06,SPXN,64.01,64.01
2025-06-06,SPXT,94.25,94.2548
2025-06-06,SPXV,65.5,65.4966
2025-06-06,SPYD,42.48,42.48
2025-06-06,SPYG,91.43,91.43
2025-06-06,SPYV,51.39,51.39
2025-06-06,SPYX,49.26,49.26
2025-06-06,SQEW,32.21,32.2078
2025-06-06,SRHQ,36.59,36.592
2025-06-06,SSPX,29.29,29.2911
2025-06-06,SSPY,80.57,80.5696
2025-06-06,SSUS,43.41,43.41
2025-06-06,STNC,30.52,30.5238
2025-06-06,STRV,38.72,38.72
2025-06-06,STXG,44.42,44.4243
2025-06-06,STXV,30.3,30.2997
2025-06-06,SURE,114.87,114.8678
2025-06-06,SUSA,123.95,123.95
2025-06-06,SUSL,105.09,105.095
2025-06-06,SVAL,30.41,30.404
2025-06-06,SWAN,29.66,29.6549
2025-06-06,SXQG,32.47,32.4662
2025-06-06,SZNE,34.34,34.3362
2025-06-06,TBG,32.02,32.02
2025-06-06,TCAF,34.2,34.2
2025-06-06,TCHP,43.58,43.58
2025-06-06,TDIV,84.05,84.05
2025-06-06,TDVG,41.81,41.81
2025-06-06,TGLR,30.95,30.9432
2025-06-06,TGRT,38.9,38.8989
2025-06-06,TGRW,40.53,40.5339
2025-06-06,THLV,28.12,28.1207
2025-06-06,TILT,217.78,217.7761
2025-06-06,TLH,98.61,98.61
2025-06-06,TLTD,82.59,82.5941
2025-06-06,TLTE,56.85,56.8514
2025-06-06,TMFC,62.18,62.18
2025-06-06,TMFE,27.91,27.9114
2025-06-06,TMSL,32.27,32.27
2025-06-06,TOLL,33.88,33.8732
2025-06-06,TPLC,44.33,44.33
2025-06-06,TPLE,26.4,26.3994
2025-06-06,TRND,31.28,31.2779
2025-06-06,TSPA,37.73,37.73
2025-06-06,TUA,21.46,21.46
2025-06-06,TVAL,32.16,32.16
2025-06-06,TY,31.61,31.61
2025-06-06,URTH,165.85,165.85
2025-06-06,USCA,37.63,37.6364
2025-06-06,USCL,71.5,71.5
2025-06-06,USMC,60.79,60.79
2025-06-06,USMF,50.9,50.9
2025-06-06,IGM,106.32,106.32
2025-06-06,IHDG,45.69,45.69
2025-06-06,IJJ,121.12,121.12
2025-06-06,IJK,90.02,90.02
2025-06-06,IJS,97.61,97.61
2025-06-06,IJT,131.35,131.35
2025-06-06,ILCB,83.1,83.1
2025-06-06,ILCG,92.97,92.97
2025-06-06,ILCV,81.79,81.7893
2025-06-06,IMCB,78.21,78.21
2025-06-06,IMCG,78.73,78.73
2025-06-06,IMCV,74.87,74.87
2025-06-06,IMTM,45.39,45.39
2025-06-06,INCE,56.39,56.3891
2025-06-06,INTF,34.15,34.15
2025-06-06,IOO,104.98,104.98
2025-06-06,IPAY,58.22,58.2213
2025-06-06,IQDG,39.2,39.2
2025-06-06,IQLT,43.3,43.3
2025-06-06,IQSU,48.58,48.5792
2025-06-06,ISCF,38.19,38.19
2025-06-06,ISCG,48.86,48.86
2025-06-06,ISMD,34.92,34.92
